"Product", "Region", "Volume", "Currency"
"SmartPhone V0", "North America", "872905", "USD"
"SmartPhone V0", "Middle America", "2272668", "USD"
"SmartPhone V0", "South America", "5288750", "USD"
"SmartPhone V0", "West Europe", "623143", "USD"
"SmartPhone V0", "Central Europe", "6857121", "USD"
"SmartPhone V0", "East Europe", "9101912", "USD"
"SmartPhone V0", "North Africa", "361727", "USD"
"SmartPhone V0", "Central Africa", "2371288", "USD"
"SmartPhone V0", "East Africa", "5773233", "USD"
"SmartPhone V0", "Central Asia", "5495790", "USD"
"SmartPhone V0", "North Asia", "7343713", "USD"
"SmartPhone V0", "Asia Pacific", "9489076", "USD"
"SmartPhone V0", "China", "1075652", "USD"
"SmartPhone V0", "India", "924602", "USD"
"SmartPhone 1DX", "North America", "5466742", "USD"
"SmartPhone 1DX", "Middle America", "2515924", "USD"
"SmartPhone 1DX", "South America", "4808641", "USD"
"SmartPhone 1DX", "West Europe", "5929007", "USD"
"SmartPhone 1DX", "Central Europe", "4183597", "USD"
"SmartPhone 1DX", "East Europe", "341397", "USD"
"SmartPhone 1DX", "North Africa", "8323514", "USD"
"SmartPhone 1DX", "Central Africa", "343458", "USD"
"SmartPhone 1DX", "East Africa", "493866", "USD"
"SmartPhone 1DX", "Central Asia", "1022800", "USD"
"SmartPhone 1DX", "North Asia", "3018434", "USD"
"SmartPhone 1DX", "Asia Pacific", "1728764", "USD"
"SmartPhone 1DX", "China", "3604755", "USD"
"SmartPhone 1DX", "India", "9729766", "USD"
"SmartPhone MX2", "North America", "4555701", "USD"
"SmartPhone MX2", "Middle America", "1309015", "USD"
"SmartPhone MX2", "South America", "8706748", "USD"
"SmartPhone MX2", "West Europe", "7756599", "USD"
"SmartPhone MX2", "Central Europe", "2614931", "USD"
"SmartPhone MX2", "East Europe", "3077231", "USD"
"SmartPhone MX2", "North Africa", "5403977", "USD"
"SmartPhone MX2", "Central Africa", "6318476", "USD"
"SmartPhone MX2", "East Africa", "9656560", "USD"
"SmartPhone MX2", "Central Asia", "5415747", "USD"
"SmartPhone MX2", "North Asia", "7911406", "USD"
"SmartPhone MX2", "Asia Pacific", "8935536", "USD"
"SmartPhone MX2", "China", "6398622", "USD"
"SmartPhone MX2", "India", "3571476", "USD"
"SmartPhone U3R", "North America", "3515733", "USD"
"SmartPhone U3R", "Middle America", "6609267", "USD"
"SmartPhone U3R", "South America", "8750745", "USD"
"SmartPhone U3R", "West Europe", "5632853", "USD"
"SmartPhone U3R", "Central Europe", "2994157", "USD"
"SmartPhone U3R", "East Europe", "708475", "USD"
"SmartPhone U3R", "North Africa", "802843", "USD"
"SmartPhone U3R", "Central Africa", "4274376", "USD"
"SmartPhone U3R", "East Africa", "1694926", "USD"
"SmartPhone U3R", "Central Asia", "9507533", "USD"
